Sample ID,Age (months),T2 (ms),Onset Tg (C),Gloss,Pigment Volume Concentration ratio,Oil (1 or 0),Acrylic (1 or 0),Metal ions (1 or 0),Water Mixable (1 or 0),Organic pigment (1 or 0),Inorganic pigment (1 or 0)
Black_1,2,0.529474,1.06,8,0.15,0,1,1,,0,1
Black_2,2,0.580719,3.09,5.9,0.21,0,1,1,,0,1
Black_3,2.5,0.479482,3.58,3.7,0.3,0,1,1,,0,1
Black_4,1,0.545508,5.025,2.4,0.43,0,1,1,,0,1
Black_5,4,0.422963,5.14,1.4,0.54,0,1,1,,0,1
Black_6,4,0.425296,0.92,0.7,0.66,0,1,1,,0,1
Black_7,4,0.410537,-1.395,0.4,0.76,0,1,1,,0,1
Black_8,3,0.315382,6.47,0.1,0.87,0,1,1,,0,1
Black_9,4,0.280732,4.105,0.1,0.88,0,1,1,,0,1
Black_10,3,0.313058,7.46,0,1.12,0,1,1,,0,1
Blue_1,0.25,0.537789,,4.7,0.13,0,1,1,,1,0
Blue_2,3.5,0.453727,,3.3,0.27,0,1,1,,1,0
Blue_3,0.25,0.361799,,1.3,0.39,0,1,1,,1,0
Blue_4,3.5,0.391691,,0.8,0.51,0,1,1,,1,0
Blue_5,0.25,0.364253,,0.4,0.61,0,1,1,,1,0
Blue_6,3.5,0.205623,,0,0.74,0,1,1,,1,0
Blue_7,0.25,0.081444,,0,0.9,0,1,1,,1,0
Blue_8,3.5,0.136319,2.535,0,0.96,0,1,1,,1,0
Blue_9,3.5,0.084685,,0,1.07,0,1,1,,1,0
Blue_10,0.25,0.08228,,0,1.13,0,1,1,,1,0
Red_1,1.5,0.461971,,8.4,0.15,0,1,0,,1,0
Red_2,1.5,0.436589,,3,0.3,0,1,0,,1,0
Red_3,1.25,0.351749,,0.1,0.47,0,1,0,,1,0
Red_4,1,0.389386,,0,0.66,0,1,0,,1,0
Red_5,1,0.316277,,0,0.71,0,1,0,,1,0
Red_6,0.25,0.237127,,0,0.84,0,1,0,,1,0
Red_7,1,0.193955,2.88,0,1,0,1,0,,1,0
Red_8,1,0.141389,,0,1.22,0,1,0,,1,0
White_1,1,0.490833,,19.1,0.05,0,1,0,,0,1
White_2,1,0.464102,,16.2,0.11,0,1,0,,0,1
White_3,1,0.426568,,12.7,0.18,0,1,0,,0,1
White_4,1,0.431795,,7.9,0.26,0,1,0,,0,1
White_5,1,0.399793,,7.2,0.36,0,1,0,,0,1
White_6,1,0.39065,,4.4,0.5,0,1,0,,0,1
White_7,1,0.305284,,3.2,0.72,0,1,0,,0,1
White_8,1,0.134637,,2.6,0.87,0,1,0,,0,1
White_9,1,0.128466,-1.715,2,1.06,0,1,0,,0,1
White_10,0.25,0.11212,,1.7,1.14,0,1,0,,0,1
P001,25,0.305,-28.73,20.4,,1,0,1,0,1,0
M001,25,0.499,-38.45,60.7,,1,0,1,1,1,0
P027,25,0.22,-24.92,9,,1,0,1,0,0,1
M027,25,0.557,-39.53,6.3,,1,0,1,1,0,1
P060,25,0.267,-28.44,18.7,,1,0,0,0,1,0
M060,25,0.404,-32.92,31.3,,1,0,0,1,1,0
P095,25,0.254,-27.49,14.1,,1,0,0,0,1,0
M095,25,0.33,-31.71,12.3,,1,0,0,1,1,0
P205,25,0.294,-30,21.3,,1,0,1,0,1,0
M205,25,0.381,-34.41,48.3,,1,0,1,1,1,0
P212,25,0.416,-34.75,10.3,,1,0,1,0,0,1
M212,25,0.48,-37.7,17.6,,1,0,1,1,0,1
P232,25,0.23,-25.89,13.1,,1,0,1,0,1,1
M232,25,0.391,-33.53,9.6,,1,0,1,1,1,1
P250,25,0.295,-30.435,17,,1,0,1,0,0,1
AcrylicBaseDrying_1,0.000463,2.894763,,,0,0,1,0,0,0,0
AcrylicBaseDrying_2,0.000926,2.708297,,,0,0,1,0,0,0,0
AcrylicBaseDrying_3,0.001389,1.977288,,,0,0,1,0,0,0,0
AcrylicBaseDrying_4,0.001852,1.472678,,,0,0,1,0,0,0,0
AcrylicBaseDrying_5,0.002315,1.410728,,,0,0,1,0,0,0,0
AcrylicBaseDrying_6,0.002778,1.351908,,,0,0,1,0,0,0,0
AcrylicBaseDrying_7,0.003241,1.183807,,,0,0,1,0,0,0,0
AcrylicBaseDrying_8,0.003704,1.254788,,,0,0,1,0,0,0,0
AcrylicBaseDrying_9,0.004167,1.209762,,,0,0,1,0,0,0,0
AcrylicBaseDrying_10,0.00463,1.185222,,,0,0,1,0,0,0,0
AcrylicBaseDrying_11,0.005093,1.189758,,,0,0,1,0,0,0,0
AcrylicBaseDrying_12,0.005556,1.162702,,,0,0,1,0,0,0,0
AcrylicBaseDrying_13,0.006019,1.209876,,,0,0,1,0,0,0,0
AcrylicBaseDrying_14,0.006481,1.164156,,,0,0,1,0,0,0,0
AcrylicBaseDrying_15,0.006944,1.195576,,,0,0,1,0,0,0,0
AcrylicBaseDrying_16,0.007407,1.128235,,,0,0,1,0,0,0,0
AcrylicBaseDrying_17,0.00787,1.148651,,,0,0,1,0,0,0,0
AcrylicBaseDrying_18,0.008333,1.090999,,,0,0,1,0,0,0,0
AcrylicBaseDrying_19,0.008796,1.114026,,,0,0,1,0,0,0,0
AcrylicBaseDrying_20,0.009259,1.114173,,,0,0,1,0,0,0,0
AcrylicBaseDrying_21,0.009722,1.166354,,,0,0,1,0,0,0,0
AcrylicBaseDrying_22,0.033,0.931194,,,0,0,1,0,0,0,0
AcrylicBaseDrying_23,0.066,0.933617,,,0,0,1,0,0,0,0
