"fish" "adapted" "macrophytes" "Copepoda" "Daphnia_magna" "Daphnia_galeata" "Daphnia_pulex" "Simocephalus_vetulus" "Scapheloberis_spp." "Ceriodaphnia_spp." "Chydoridae" "Bosminidae"
"1" 1 1 0 756 9090 288 0 828 54 18 792 216
"2" 1 1 0 1368 0 2268 0 1854 72 1062 738 270
"3" 1 1 0 72 0 18 0 144 0 0 54 0
"4" 0 1 0 2538 0 0 0 1962 54 882 702 36
"5" 0 1 0 3744 3096 1854 72 342 0 198 288 414
"6" 0 1 0 3132 0 3294 0 1242 0 288 450 1476
"7" 1 0 0 0 0 270 0 18 1566 450 918 72
"8" 1 0 0 180 0 144 0 108 234 144 288 18
"9" 1 0 0 0 2664 0 0 0 0 36 2034 36
"10" 0 0 0 1494 90 4086 180 342 72 1260 1422 684
"11" 0 0 0 2088 0 0 0 504 54 1134 1548 36
"12" 0 0 0 5184 0 36 0 2484 126 0 3816 90
"13" 1 1 1 1512 10188 252 54 648 54 0 6444 666
"14" 1 1 1 4428 0 18 0 8766 18 162 8280 18
"15" 1 1 1 1800 8730 1134 0 1440 0 0 2124 432
"16" 0 1 1 3960 16452 2844 0 5832 54 18 9000 594
"17" 0 1 1 1080 6786 234 0 792 0 0 4014 126
"18" 0 1 1 8568 2736 2484 0 1260 0 18 6696 162
"19" 1 0 1 3888 0 126 0 522 0 0 23778 0
"20" 1 0 1 0 5184 0 0 0 0 0 106308 0
"21" 1 0 1 1548 0 36 0 1962 0 0 3654 0
"22" 0 0 1 3132 6192 270 0 5580 0 18 7920 36
"23" 0 0 1 7092 2052 2952 216 1980 0 0 8100 1008
"24" 0 0 1 1242 2718 4608 0 4392 0 0 4320 234
