	a	b	c	d	e	f	g	h	i	j	k	l	m	n	o
CP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KBSF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PL10	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0.1	0
PL11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PL15	0.166666667	0	0.833333333	0	0	0	0	0	0	0	0	0	0	0	0
PL16	0	0.066666667	0.866666667	0.066666667	0	0	0	0	0	0	0	0	0	0	0
PL17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PL18	0.1	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
PL2	0.166666667	0.333333333	0.333333333	0	0	0	0	0.166666667	0	0	0	0	0	0	0
PL4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PL6	0	0	0.222222222	0	0	0	0.777777778	0	0	0	0	0	0	0	0
PL8	0	0.0667	0.93	0	0	0	0	0	0	0	0	0	0	0	0
PM2	0	0	0	0	0	0	0	0.894736842	0	0	0	0	0	0	0.105263158
PM3	0	0	0	0	0	0	0	0.727272727	0.272727273	0	0	0	0	0	0
QP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
R	0.055555556	0	0.722222222	0	0	0	0.055555556	0	0.111111111	0.055555556	0	0	0	0	0
SP	0.5	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0
PM1	0	0	0	0.066666667	0.666666667	0.066666667	0	0	0	0.066666667	0.066666667	0	0.066666667	0	0
