	pH	Volume	macrophyte	shade	DOC	Coleoptera	Odonata	Notonectid	Chaoborus	TN	TP
CP	9.28	2644.048591	5	4.3	0.135877	4	0	8	0	1346.535383	57.397662
HSP	6.53	56.664342	30	5.16	0.356965	12	2	1	3	1937.854154	80.2391352
KBSF	7.2	0.983554	70	63.26	0.71393	0	0	0	0	5888.582157	1354.499341
PL10	8.27	711.72044	20	1.57	0.096726	74	27	6	3	1775.314837	41.755399
PL11	7.25	703.4236275	30	1.75	0	36	44	7	88	574.7156673	14.8431682
PL15	7.48	738.8042	20	0.83	0.052969	48	4	0	2	389.0772358	24.9069856
PL16	9.2	709.281275	5	3.78	0	7	12	0	3	234.5565323	17.5193144
PL17	9.45	667.2259575	10	2.15	0	3	0	0	0	505.4480112	16.9916236
PL18	9.67	548.378376	10	2.22	0.018424	10	26	6	0	465.4704663	11.6770234
PL2	7.7	125.798544	40	2.19	0.172725	9	0	2	0	505.4480112	37.3454116
PL4	7.86	681.34125	20	2.19	0	0	0	0	0	401.4796391	33.463115
PL6	9.24	732.9345	10	3.94	0.034545	16	0	0	0	970.524218	23.1693651
PL8	9.24	753.720968	15	1.18	0	27	12	4	0	505.4480112	18.8385414
PM2	7.09	2901.36	20	51.72	0.211876	4	0	3	0	1228.191363	69.0445518
PM3	6.77	32.353948	95	3.37	1.453193	18	0	6	1	4462.31673	508.6863726
QP	8.19	154.8648865	20	38.85	0.04606	189	8	4	5	2300.722576	74.2837676
R	7.87	2474.3422	5	1.16	0.071393	0	0	1	0	112.9189241	8.774724
SP	8.47	1023.834922	10	1.61	0.147392	8	0	4	0	485.3108279	37.609257
PM1	7.91	8338.68	5	13.62	0.108241	13	0	0	0	1772.938255	31.9177348
